Company Name,Website,Location
09ºWest,http://www.09west.com,Portugal
1001 Nights Tours Iran,http://www.1001nights.tours,Iran
33 North,http://www.33-north.com,Lebanon
50 degrees North,http://www.fiftydegreesnorth.com,Norway
56th Parallel,http://www.56thparallel.com,Australia
8000expedition,http://www.8000expedition.net,Nepal
88 destinations Inc.,http://www.88destinations.com,Saudi Arabia
A Cielo Abierto Trek,http://www.acieloabiertotrek.com,Argentina
A.C.E. Adventure,http://www.ace-adventurecentre.com/,Serbia
AA Safaris and Tours LTD,http://www.adventureugandasafari.com,Uganda
Abercrombie & Kent Jordan,http://akdmc.com,Jordan
Above the Clouds,http://www.aboveclouds.com/,United States
Absolute Adventure Sports Services,http://www.adventure.ae,United Arab Emirates
Accessible Adventure Travels & Tours Pvt. Ltd.,http://www.accessible-adventure.com,Nepal
ACDC- Soul of Croatia/ Anima Croatica Destination Company,http://www.anima-croatica.com,Croatia
Ace the Himalaya,http://www.acethehimalaya.com,Nepal
Action Challenge UK Ltd,http://www.actionchallenge.com,United Kingdom
Active 4 Adventures - Discover France,http://www.discoverfrance.com,France
Active Adventure Tours Mongolia LLC,http://www.tourmongolia.com,Mongolia
Active Adventures,http://activeadventures.com,New Zealand
Active Africa,http://www.activeafrica.co.za,South Africa
Active Cultures Travel / Southern Visions Travel,http://www.southernvisionstravel.com,Italy
Active Earth Adventures,http://activeearthadventures.com/,New Zealand
Active India Holidays Pvt Ltd,http://www.activeindiaholidays.com,India
Adjara Group Hospitality,http://www.adjaragroup.com,Georgia
ADMINISTRACION Y OPERACION DE HOTELES BAHIA DE LORETO SA DE CV,http://www.villadelpalmarloreto.com,Mexico
Advantage Travel,http://www.advantagetravel.com,Ecuador
Adventure & Fun Albania,http://www.adventure-fun.al,Albania
Adventure & Landscape,http://www.adventure-landscape.com,Argentina
Adventure Access,http://www.adventure-access.com,China
Adventure Base,http://www.adventurebase.com,France
Adventure Canada,http://www.adventurecanada.com,Canada
Adventure Consultants Limited,http://www.adventureconsultants.com,New Zealand
Adventure Driven Vacations,http://adventure-driven-vacations.com,Croatia
Adventure Guatemala,http://adventureguatemala.com/,Guatemala
Adventure Iran – Caravan Kooch Adventure Travel,http://www.adventureiran.com,Iran
Adventure Life,http://www.adventure-life.com,United States
Adventure Rider Mongolia,http://www.adventurerider.mn,Mongolia
Adventure Shop,http://www.adventureshop.co.za,South Africa
Adventure to Africa,http://www.adventuretoafrica.com,United States
"Adventure Travel West, Inc.",http://www.at-west.com,United States
Adventure Weekend Viagens,http://www.adventureweekend.com.br,Brazil
Adventure World Travel,http://www.adventureworld.com,Australia
Adventures in Good Company,http://www.adventuresingoodcompany.com,United States
Adventures Within Reach,http://www.adventureswithinreach.com/,United States
AdventureSmith Explorations,http://www.adventuresmithexplorations.com,United States
Adventuresports.online,http://www.adventuresports.online,United States
Adviser Travel & Tourism,http://advisertours.com,Jordan
Africa Adventure Consultants,http://www.adventuresinafrica.com,United States
African Bikers Tours,http://www.africanbikers.com,South Africa
African Bush Camps,http://www.africanbushcamps.com,South Africa
African Safari Company,http://www.africansafarico.com,United States
Agencia del Peregrino,http://www.agenciadelperegrino.com.ar,Argentina
AguaHielo Expediciones,http://aguahielo.cl/,Chile
Ahsante Tours and Safaris Ltd.,http://www.ahsantetours.com,Tanzania
Akanan Amazing adventures Inc,http://www.aadventures.net,United States
Alaska Adventure Travel,http://www.alaskaadventuretravel.com/,United States
Alaska Alpine Adventures,http://www.alaskaalpineadventures.com/,United States
Alaska Latin Tours LLC,http://www.alaskalatintours.com,United States
Alaska Wildland Adventures,http://www.alaskawildland.com,United States
Albanian Rafting Federation,http://www.albrafting.org,Albania
Albatros Travel,http://www.albatros-travel.com,Greenland
All Patagonia,http://www.allpatagonia.com,Argentina
Allibert Trekking,http://www.allibert-trekking.com,France
Alluring Africa,http://www.alluringafrica.com,United States
Alluring Americas,http://www.alluringamericas.com,United States
Alma Calma Expediciones,http://www.almacalma.net,Argentina
Alma Gaucho Expeditions,http://www.AlmaGaucho.com,Argentina
Alpaca Expeditions,http://www.alpacaexpeditions.com,Peru
Alpenwild,http://www.alpenwild.com,United States
"Alpine Tour Service Co., Ltd.",http://www.alpine-tour.com/,Japan
Alpinehikers,http://www.alpinehikers.com,United States
Alta Expedition,http://www.altaexpedition.com,Canada
ALTAI BASE CAMP,http://www.altai-travel.com/UK/,France
Amarela Viajes,http://www.amarela.com.ar,Argentina
Amazon River Expeditions,http://www.amazonriverexpeditions.com,Peru
Amazonas Explorer,http://amazonas-explorer.com/,Peru
Ambiental Expeditions,http://www.ambiental.tur.br,Brazil
AmeriCan Adventures,http://americanadventures.com/,United States
Amity Tours,http://www.amity-tours.com,Chile
Andean Adventures Peru,http://www.andeanadventuresperu.com,Peru
Andean Lodges,http://www.andeanlodges.com,Peru
Andestrack,http://www.andestrack.com.ar,Argentina
Angama Mara,http://www.angama.com,Kenya
Aniyami DMC Brazil,http://www.aniyami.com,Brazil
Another World Adventures,http://www.anotherworldadventures.com,United Kingdom
Antarctic Logistics & Expeditions,http://www.antarctic-logistics.com,United States
Antarctica XXI,http://www.antarcticaxxi.com,Chile
Antarpply Expeditions,http://www.antarpply.com,Argentina
Anthony's Key Resort,http://www.anthonyskey.com,Honduras
Antique Tour Experience,http://www.AntiqueTour.com.ar,Argentina
Apino Turismo,http://www.apino.com.br,Brazil
Apumayo Expediciones SAC,http://www.apumayo.com,Peru
Apus Peru Adventure Travel Specialists,http://www.apus-peru.com,Peru
Aracari Travel,http://aracari.com,Peru
Arakur Resort,http://www.arakur.com,Argentina
Aranui Cruises,http://www.aranui.com,United States
ArchaeoAdventures Tours,http://archaeoadventures.com,United States
AREA 47,http://www.area47.at/,Austria
Argentina on the Go,http://www.argentinaonthego.com,Argentina
Argentina Rafting,http://www.argentinarafting.com,Argentina
ARGENTINA TRAILS & ACONCAGUA VISION,http://www.argentinatrails.com.ar,Argentina
Arizona Outback Adventures,http://www.aoa-adventures.com,United States
ARMOTOURS,http://www.armotours.com,Costa Rica
Asgard - Beyond,http://www.asgardbeyond.is,Iceland
Ashtar Tours International,http://www.ashtartours.com,Jordan
ASI Reisen,http://www.asi.at,Austria
Asia Aventura,http://www.asia-aventura.com,Vietnam
Asia Transpacific Journeys (ATJ),http://www.asiatranspacific.com,United States
Atlantic Sea Kayaking and Wild Atlantic Walks,http://www.atlanticseakayaking.com,Ireland
Audley Travel,http://www.audleytravel.com/us/,United Kingdom
AUQUI Machu Picchu Travel Experts,http://www.auqui.travel,Peru
Austin Adventures,http://www.austinadventures.com/,United States
Australian Walking Holidays,http://australianwalkingholidays.com.au,Australia
Australian Wildlife Journeys,http://www.australianwildlifecollection.com,Australia
Australis,http://www.australis.com,Chile
Auténtica Salta,http://www.autenticasalta.com,Argentina
Aventura en Altura,http://www.aerosilla.com,Argentina
AVENTURAS BAJA,http://www.aventurasbaja.com,Mexico
Aventuras Panama,http://www.aventuraspanama.com,Panama
Aventure Colombia,http://www.aventurecolombia.com,Colombia
Avia Club Nepal,http://aviaclubnepal.com,Nepal
awayfromitall GmbH & Co. KG,http://www.awayfromitall.com,Germany
Aysén Patagonia Tour,http://aysenpatagoniatour.cl,Chile
Azimut 360,http://www.azimut360.com,Chile
Backroads,http://www.backroads.com,United States
Baja Outdoor Activities,http://www.kayactivities.com,Mexico
Baltic Blues UAB,http://www.balticblues.com,Lithuania
Bamba Experience,http://www.bambaexperience.com,United States
"Banjara Camp, India",http://www.banjaracamps.com,India
Bark EUROPA,http://www.barkeuropa.com,Netherlands
Batouta Voyages & Events,http://www.batouta.com,Tunisia
Baumeler Travel,http://www.baumeler.ch,Switzerland
Bearing True South,http://www.bearingtruesouth.com,Greece
Beraljezur Hotelaria e Turismo Lda,http://amazighguesthouse.com,Portugal
Bergen Base Camp,http://www.bergenbasecamp.no/,Norway
Better Places,http://www.betterplaces.nl,Netherlands
Beyond Dracula Travel,http://www.beyonddracula.com,Romania
Beyond X Boundaries,http://www.beyondxboundaries.com,Singapore
Bicycle Adventures,http://www.bicycleadventures.com,United States
Big Adventure Travel Company,http://bigadventures.us,United States
Bike Tour Sardinia,http://www.biketoursardinia.com/,Italy
BikeHike Adventures,http://www.bikehike.com/,Canada
Bikes 'n Wines,http://bikesnwines.com/,South Africa
BikeTours.com,http://www.biketours.com,United States
BirdsChile - Nature Tours,http://www.birdschile.com/,Chile
Bitácoras de Viaje,http://bitacorasdeviaje.com,Uruguay
Björk Experience,http://www.bjorkexperience.com/,Sweden
Black Ibex Expeditions,http://www.blackibexexpeditions.com,Mongolia
Black Mountain Montenegro Ltd,http://www.montenegroholiday.com,Montenegro
"Black Sheep Adventures, Inc.",http://blacksheepadventures.com,United States
Bolivia Milenaria,http://www.boliviamilenaria.com,Bolivia
Boogie Pilgrim,http://www.boogiepilgrim-madagascar.com,Madagascar
Borana Lodge,http://www.borana.co.ke/,Kenya
Borneo Adventure,http://www.borneoadventure.com,Malaysia
Borton Overseas,http://www.bortonoverseas.com,United States
Boundless Journeys,http://www.boundlessjourneys.com,United States
Bredeson Outdoor Adventures,http://www.bredeson.com,United States
Bulgaria Personalized,http://www.bulgariapersonalized.com,Bulgaria
Bush and Beyond,http://www.bush-and-beyond.com,Canada
Butterfield & Robinson,http://www.butterfield.com,Canada
BWT OPERADORA,No link,No Location
Cabalgatas Gauchas en Salta,http://www.horseridingsalta.com,Argentina
Cactus Tours Madagascar,http://www.cactus-madagascar.com,Madagascar
Camino Abierto,http://www.caminoabierto.com,Argentina
CaminoWays.com,http://www.caminoways.com,Ireland
Canadian Mountain Holidays LP,http://www.canadianmountainholidays.com,Canada
Canal Fun,http://www.canalfun.com,Argentina
Canyon Calling Adventures for Women,http://www.canyoncalling.com,United States
Canyons,http://canyons.jp,Japan
Caradonna Dive Adventures,http://www.caradonna.com,United States
Casa Natura Galapagos Lodge,http://www.casanaturahotel.com,Ecuador
Cascada Expediciones / EcoCamp Patagonia,http://www.cascada.travel/,Chile
"CAT,China Adventure Tours",http://www.chinadventuretours.com,China
Celtic Trails Walking Holidays,http://www.celtictrailswalkingholidays.co.uk/,United Kingdom
Chalalan Ecolodge,http://www.chalalan.com/,Bolivia
CHAMINA VOYAGES,http://www.chamina-voyages.com/,France
Chaska Tours S.A.S,http://www.chaskatours.net,Colombia
Cheli & Peacock Safaris,http://chelipeacock.com,Kenya
Chile Nativo Travel,http://www.chilenativo.travel,Chile
Chiloe Natural,http://www.chiloenatural.com,Chile
Chiloétnico,http://www.chiloetnico.cl,Chile
Chimu Adventures,http://www.chimuadventures.com,Australia
China Charmission Travel,http://www.charmission.cn,China
China Exploration,http://www.ChinaExploration.com,China
Choose Honduras (Honduras Turismo y Marketing SA),http://www.choosehonduras.com,Honduras
Ciclismo Classico,http://www.ciclismoclassico.com,United States
Cicloposse Bike Tour,http://www.cicloposse.com,Italy
CIELOS ANDINOS,http://www.cielosandinos.com,Argentina
Civilized Adventures,http://www.civilizedadv.com,Canada
Clark Expediciones,http://www.clarkexpediciones.com,Argentina
Classic Escapes Inc.,http://www.classicescapes.com,United States
Classic Journeys,http://www.classicjourneys.com,United States
Coast to Coast Adventures / Atlas,http://www.coasttocoastadventures.com/,Costa Rica
Cobblestone Private Travel,http://www.cobblestoneprivatetravel.com,United States
Colombia 57,http://www.colombia57.com,Colombia
Condor Travel SAC,http://www.condortravel.com/en/,Peru
Condor Valley,http://www.condorvalley.com,Argentina
Conguillo National Park,http://www.parquenacionalconguillio.cl,Chile
Constellations Travel,http://www.constellations.travel,Argentina
CORE Travel,http://www.core-travel.com,Peru
Corona del Inca Expediciones,http://www.coronadelinca.tur.ar,Argentina
Costa Rica Sun Tours,http://www.crsuntours.com,Costa Rica
Costas de Patagonia,http://www.costasdepatagonia.com,Argentina
Country Walkers,http://www.countrywalkers.com/,United States
Countryside Adventure Holidays,http://www.countrysideindia.com/,India
"Cox & Kings, The Americas",http://www.coxandkingsusa.com,United States
Crillon Tours,http://www.titicaca.com,Bolivia
Crilu Travel,http://www.crilutravel.it,Italy
Cristales Aventura Tours,http://www.cano-cristales.com/,Colombia
croActive &adventure - Croatia,http://www.andadventure.com/,Croatia
Crooked Trails,http://www.crookedtrails.org,United States
Cross Country Tours,http://www.mycrosscountrytours.com,United States
Crossing Latitudes,http://www.crossinglatitudes.com,United States
Cuba Aventuras,http://www.cubaaventuras.com,Cuba
Cuba PrivateTravel,http://www.cubaprivatetravel.com,Cuba
Cumbres Travel,http://www.cumbrestravel.com,Spain
Cycle Europe,http://www.cycleeurope.com,Italy
Cyclomundo,http://www.cyclomundo.com,France
Cynsa Tour Operator,http://www.cynsa.com.ar,Argentina
Córdoba Bike Tours,No link,No Location
D-DAY MEMORY TOUR (DDMT),http://www.ddaymemorytour.com,United States
De Altura,http://dealtura.com.ar,Argentina
De Borondo,http://www.deborondo.com,Colombia
De Una Colombia Tours Ltda,http://www.deunacolombia.com,Colombia
Deeper Africa,http://www.deeperafrica.com,United States
Delaware North Company,http://delawarenorth.com,United States
Desert and Sea Expeditions,http://desertandsea.com/,Mexico
Destino Patagonia,http://www.destinopatagonia.cl/,Chile
Dharma Adventures,http://www.dharmaadventures.com,Nepal
"DID Adventure, Norway",http://www.didadventure.no,Norway
Diplomat Travels & Tourism Agency,http://www.diplomattravels.com,Nigeria
Discover Banff Tours,http://www.banfftours.org,Canada
Discover Jordan Tours,http://www.discoverjordan.com,Jordan
Discover Outdoors,http://www.discoveroutdoors.com/,United States
Dittmar Adventures,http://www.dittmaradventures.com,Chile
Diverse China Travel,http://www.diversechina.com,China
Dulabab Travel,http://www.dulabab.com,United Kingdom
Dyer Island Cruises,http://www.whalewatchsa.com,South Africa
Easia Travel,http://www.easia-travel.com,France
"Easy Tour China Travel Co., Ltd.",http://www.easytourchina.com,China
Easy Travel and Tours,http://www.easytravel.co.tz,Tanzania
EatThePeachTravel.com,http://www.eatthepeachtravel.com,United States
Eccentric Travels Private Limited,http://ECCETRAV.COM,India
Eco Team - Sri Lanka,http://www.srilankaecotourism.com,Sri Lanka
EcoAndes Travel,http://www.ecoandestravel.com,Ecuador
Ecochile Travel,http://www.ecochile.travel,Chile
EcoCircuitos Panama,http://www.ecocircuitos.com/,Panama
Ecodestinos,http://www.ecodestinos.travel,Colombia
Ecoexperiencias Tour Operadores,http://www.ecoexperiencias.com,Mexico
EcoHotels / Feynan Ecolodge,http://www.ecohotelsjordan.com,Jordan
ECOTREK S.A.S,No link,No Location
EcoTrek Turismo Alternativo,http://www.ecotrek.com.ar/,Argentina
Ecoventura - Galapagos Network,http://ecoventura.com,Ecuador
Ecuador Freedom Bike Rental & Motorcycle Tours,http://FreedomBikeRental.com,Ecuador
Ecuador Pure Life,http://www.ecuadorpurelife.com,Ecuador
El mundo Yourway,http://www.elmundoyourway.com,Spain
EL PUESTO CABALGATAS,http://www.tafidelvalle.travel/el-puesto-cabalgatas.html,Argentina
ElderTreks,http://www.eldertreks.com,Canada
Elemental Outdoor,http://www.wildrun.com,South Africa
Elevate Destinations,http://www.elevatedestinations.com,United States
Elgin Adventures,http://www.beartraplodge.co.za,South Africa
Enchanted Expeditions,http://www.enchantedexpeditions.com,Ecuador
Encounters Asia / Jungle Lodges,http://www.encountersasia.com,India
Engaging Cultures Travel,http://www.engagingcultures.com,United States
Epic Private Journeys,http://www.epicprivatejourneys.com,Australia
Epitourean | Edible Destinations!,http://www.epitourean.com,United States
Eposak / ZOI Venezuela,http://www.eposak.org,Venezuela
Escapade Sweden,http://escapadesweden.se,Sweden
Escape 4 Africa Travel,http://www.africanoverlandtours.com,South Africa
Estancia Rincón Chico - CPV . Península Valdés . PATAGONIA,http://www.rinconchico.com.ar/,Argentina
Estancia Rio de los Ciervos,http://www.estanciariodelosciervos.cl,Chile
ETA - Expedition Travel Advisor,http://www.exploreyourworld.com,United States
Eureka Travel,http://www.eurekatravel.net,United States
Eurofun Touristik GmbH,http://www.eurohike.at,Austria
Europe Active,http://www.europe-active.com,France
European Walking Tours,http://www.walkingtours.com,Switzerland
Eurotrek,http://www.eurotrek.ch,Switzerland
Eurotur SRL,http://www.eurotur.com.ar,Argentina
Everest Pioneer Trek Nepal (p) Ltd,http://www.everesttreknepal.com,Nepal
Everest Summit Lodge Pvt. Ltd,http://www.eslrnepal.com,Nepal
Evergreen Adventures & Consultancies,http://www.evergreenadcon.com,India
EverTrek,http://www.evertrek.se/,Sweden
evoTrip,http://evo.com/evotrip,United States
Exclusive Scandinavia,http://www.exclusivescandinavia.no/,Norway
EXO Adventure,http://www.exotravel.com/adventure/,Thailand
Exodus Travels,http://www.exodustravels.com,Canada
Expediciones y Turismo Aventura,http://www.aventurapatagonia.com/,Argentina
Expedición Fitz Roy,http://www.expedicionfitzroy.com,Chile
Expeditionsresor AB,http://www.expeditionsresor.se,Sweden
ExpeditionTrips,http://www.expeditiontrips.com,United States
Experience Cuba,http://www.expcuba.com,United States
Experience Jordan,http://www.experiencejordan.com,Jordan
ExperiencePlus! Bicycle Tours,http://ExperiencePlus.com,United States
Experiencias Xcaret,http://www.experienciasxcaret.com,Mexico
Exploor,http://www.exploorperu.com,Peru
Explora,http://www.explora.com,Chile
Explorandes,http://www.explorandes.com,Peru
Explore Plus Travel & Tours,http://eXplorePlusTravel.com,South Africa
Explore!,http://www.exploreworldwide.com,United States
EXPLORER CHICK ADVENTURE CO,http://explorerchick.com,United States
Explorer X,http://explorer-x.com,United States
EXTREME GAMES SALTA,http://www.extremegamesalta.com,Argentina
Extreme Ireland Adventures,http://www.extremeireland.ie,Ireland
Fairmont Hotels - Canada's Western Mountain Region,http://www.fairmont.com,Canada
Far South Expeditions,http://www.fsexpeditions.com,Chile
FEST Travel,http://WWW.FESTTRAVEL.COM,Turkey
Finca Cielo Verde,http://www.chicoana.wixsite.com/cielo-verde,Argentina
Finca Lesser,No link,No Location
Finca Rosa Blanca Coffee Plantation Resort,http://www.FincaRosaBlanca.com,Costa Rica
Finca Santa Anita,http://www.santaanita.com.ar,Argentina
Finisterra Travel,http://www.finisterra.ca,Canada
Fiore Tours & Adventure Croatia,http://www.fiore.hr/,Croatia
Fitz Roy Expediciones,http://www.fitzroyexpediciones.com.ar,Argentina
Flashpacker Connect Adventure Travel,https://www.flashpackerconnect.com/,Peru
Fogo Island Inn / Shorefast Foundation,http://www.fogoislandinn.ca,Canada
Fold n Visit - Cycling Holidays | City Tours Rent a bike,http://www.topbiketoursportugal.com,Portugal
Frasson Travel Designer,http://www.frasson.travel,Argentina
Fremen Tours Bolivia,http://www.andes-amazonia.com,Bolivia
Fresh Adventures,http://www.freshadventures.ca,Canada
Frontiers North Adventures,http://www.frontiersnorth.com,Canada
FUNActive Tours GmbH,http://funactive.info,Italy
Futaleufú Adventure,http://www.futaleufuadventure.com,Chile
Futurismo Azores Adventures,http://www.futurismo.pt,Portugal
G Adventures,http://www.gadventures.com/,Canada
Galakiwi Adventures,http://www.galakiwi.com,Ecuador
Galapagos Safari Camp,http://www.galapagossafaricamp.com,Ecuador
Galavanta Colombia,http://www.galavanta.com,Colombia
Gateway to Egypt,http://www.gatewaytoegypt.com,Egypt
GENIO DEL BOSCO,http://www.geniodelbosco.it,Italy
Genius Loci Travel,http://www.genius-loci.it,Italy
GeoEx (Geographic Expeditions),http://www.geoex.com,United States
Ger to Ger Agency and Foundation,http://www.GertoGer.org,Mongolia
Girolibero - easy cycling holidays,http://www.girolibero.com,Italy
GIROSOLE Italy Walking Tours,http://www.girosole.com,Italy
GiroVai.com,http://www.girovai.com,Chile
Global Basecamps,http://www.globalbasecamps.com,United States
Gnosis Active Travel - Active Holidays in Greece,http://www.activeholidaysingreece.com,Greece
GO GALAPAGOS KLEINTOURS,http://www.kleintours.com,Spain
Gondwana Brasil,http://www.gondwanabrasil.com,Brazil
Gone paddling As,http://www.gonepaddling.no,Norway
Goodplace,http://www.visit-goodplace.com,Slovenia
Goolets,http://www.goolets.net,Slovenia
Goway Travel,http://www.goway.com,Canada
Grasshopper Adventures,http://www.grasshopperadventures.com/,Thailand
Gravity Adventures,http://www.gravity.co.za,South Africa
Gray & Co.,http://www.grayandco.ca,Canada
Great Canadian Trails,http://www.greatcanadiantrails.com,Canada
"Great Expeditions, LLC",http://www.greatexpeditionstravel.com,United States
Great Global Adventures,http://greatglobaladventures.com,United States
Great Island Adventure Safaris,http://www.gias-madagascar.com,Madagascar
Great Walks of Australia,http://greatwalksofaustralia.com.au/,Australia
Great Wall Hiking,http://www.greatwallhiking.com,China
Greatland Adventures,http://www.greatlandadventures.com,United States
Greek Adventure,http://greekadventure.gr,Greece
Green Arrow Tours - GAT,http://www.gat.jo,Jordan
Green Pathways Nicaragua,http://www.greenpathways.com,Nicaragua
Green Toad Bus,http://www.greentoadbus.com,Brazil
Green Visions,http://www.greenvisions.ba,Bosnia and Herzegovina
Green World Adventures,http://www.greenworldadventures.com,Costa Rica
Greenloons,http://www.greenloons.com,United States
GreenSpot.travel,http://www.greenspot.travel,United States
Greenways Travel Club,http://www.topbicycle.com,Czech Republic
H&I Adventures Ltd,http://www.mountainbikeworldwide.com/,United Kingdom
H&T,http://www.htargentina.com,Argentina
Harmony Bridge,http://harmonybridge.travel,United States
HeliUshuaia,http://www.heliushuaia.com.ar/,Argentina
Herencia Verde,No link,No Location
Heritage Expeditions,http://heritage-expeditions.com/,New Zealand
Heritage Tours Private Travel,http://www.heritagetours.com,United States
HF Holidays,http://www.hfholidays.co.uk,United Kingdom
Hike'n Sail in Turkey,http://www.hikensail.com,Turkey
Hiking New Zealand Ltd.,http://www.HikingNewZealand.com,New Zealand
Hillwalk Tours,http://www.hillwalktours.com,Ireland
HIMALAYA Expeditions,http://www.himexnepal.com,Nepal
Himalayan Glacier Trekking (P) Ltd.,http://www.himalayanglacier.com,Nepal
Himalayan High Treks,http://www.himalayanhightreks.com,United States
Himalayan Planet Adventures P Ltd,http://www.himalayanplanet.com,Nepal
Himalayan Smile Treks & Adventures,http://himalayastrek.com/,Nepal
Holiday River Expeditions,http://www.bikeraft.com,United States
Holidays for Humanity,http://trekunion.com,Canada
Horizonte Motorbike Tours,http://www.horizonte-tours.com,Argentina
Horizontes Nature Tours,http://www.horizontes.com,Costa Rica
Horseback Adventure,http://www.mongolia-trips.com,Mongolia
Hostería Kaikén,http://www.hosteriakaiken.com/,Argentina
Hotel Cabo de Hornos,http://www.hotelcabodehornos.com,Chile
Hotel Jose Nogueira,http://www.hotelnogueira.com,Chile
Hotel Salta,http://hotelsalta.com/,Argentina
Hotspots 2 C // Chipiriro Trust,http://www.hotspots2c.co.za,South Africa
Huasteca Secreta,http://www.huastecasecreta.com,Mexico
Huaxteca.com,http://www.huaxteca.com,Mexico
Huilo Huilo Biological Reserve,http://www.huilohuilo.com/,Chile
Hurtigruten ASA,http://www.hurtigruten.us,Norway
Hvitserk & Eventyrreiser,http://www.hvitserk.no/,Norway
"I, Like You Tours",http://www.ilikeyoutours.com/,Spain
Iberian Adventures,http://www.iberianadventures.com,Spain
"Ibex Expeditions, India",http://www.ibexexpeditions.com,India
Iceland Encounter,http://www.encounter.is,Iceland
Iceland ProCruises,http://www.icelandprocruises.com,Iceland
Icelandic Mountain Guides,http://www.mountainguides.is/,Iceland
ICELANDIC TRAVEL COMPANY,http://www.ferdakompaniid.com/,Iceland
Iconic Adventures,http://www.iconicadventures.com,United States
ICS Travel group,http://www.icstravelgroup.com,United States
Ideia Tours,http://www.ideiatours.com.br/,Brazil
IDNSA TRAVELS,http://indnsatrvsld.co.id,Indonesia
Iguazú Bike Tours,http://www.iguazubiketours.com.ar/,Argentina
Imvelo Safari Lodges - Zimbabwe,http://www.imvelosafarilodges.com,Zimbabwe
In The Saddle,http://www.inthesaddle.com,United Kingdom
InAdventure.travel,http://www.inadventure.travel,Chile
Incredible Adventures,https://incadventures.com/,United States
Indigo White,http://www.indigowhite.travel,Thailand
Indo Asia Tours,http://www.indoasia-tours.com,India
Indotrek,http://www.indotrek.com,Vietnam
Inspired Adventures,http://inspiredadventures.com.au,Australia
International Expeditions,http://www.ietravel.com,United States
International Nature and Cultural Adventures (INCA),http://www.inca1.com/,United States
Intrepid Group,http://www.intrepidgroup.travel,Australia
Iran Doostan Tours,http://www.irandoostan.com,Iran
"Ireland Walk, Hike, Bike",http://www.irelandwalkhikebike.com,Ireland
ISFIELD HOSPITALITY LTD Hospitality services,http://www.trekking.gr,Greece
Island Expeditions Co.,http://islandexpeditions.com,Canada
Iterra Private Travel dba Distant Insights,http://www.distantinsights.com,United States
Iwokrama International Centre,http://www.iwokrama.org,Guyana
JAN-POL Incoming Tour Operator,No link,No Location
Jerusalem T&T,No link,No Location
Jourday,http://www.jourday.com,United Kingdom
Journey Beyond,http://www.journeybeyond.travel,South Africa
Journey Beyond Travel,http://www.journeybeyondtravel.com,Morocco
Journey Mexico,http://www.journeymexico.com,Mexico
Journeys International,http://www.journeysinternational.com,United States
JSB Journeys,http://www.jsbjourneys.com,Ecuador
Jujuy en Bici,http://www.jujuyenbici.com.ar,Argentina
