JOB TITLE,Company Name,LINKEDIN URL,JOB LOCATION
"  Administrative Assistant

","Alfonso Architects, Inc.",/company/22336644/,"
Job Location
          Tampa, Florida
        "
"  Administrative Assistant

",SNI Companies,/company/971273/,"
Job Location
          Tampa/St. Petersburg, Florida Area
        "
"  Positive Team Player â€“ Administrative Assistants Needed (South Tampa) with Direct Components, Inc.

",South East Apply,/company/27150536/,"
Job Location
          Tampa, FL, US
        "
"  Administrative Assistant

","Equity LifeStyle Properties, Inc.",/company/690568/,"
Job Location
          Clearwater, FL, US
        "
"  Administrative Assistant

","Tampa, Fl",/company/1325818/,"
Job Location
          Tampa, FL, US
        "
"  Administrative Assistant

",Apex Systems,/company/4787/,"
Job Location
          Tampa/St. Petersburg, Florida Area
        "
"  Administrative Assistant

",Stantec,/company/7124/,"
Job Location
          Tampa, FL, US
        "
"  Payroll / Administrative Assistant

",Financial Staffing Group,/company/100794/,"
Job Location
          Clearwater, FL, US
        "
"  Administrative Assistant

","Liberty Staffing USA, LLC",#,"
Job Location
          Oldsmar, FL, US
        "
"  Administrative Assistant

","Christian Tyler Properties, LLC",/company/10048444/,"
Job Location
          Saint Petersburg, FL, US
        "
"  Payroll/Administrative Assistant

",Creative Financial Staffing (CFS),/company/248184/,"
Job Location
          Clearwater, FL, US
        "
"  Administrative Assistant

",Apex Life Sciences,/company/16164093/,"
Job Location
          Clearwater, FL, US
        "
"  ADMINISTRATIVE ASSISTANT

",BayCare Health System,/company/10661/,"
Job Location
          Clearwater, FL, US
        "
"  Administrative Assistant - Sleep Medicine

",Johns Hopkins All Children's Hospital,/company/21997/,"
Job Location
          Saint Petersburg, FL, US
        "
"  Administrative Assistant in Tampa, Florida

",Creative Sign Designs,/company/693370/,"
Job Location
          Tampa, FL, US
        "
"  Administrative Assistant

",University of Tampa,/company/21528/,"
Job Location
          Davis, FL, US
        "
